"DSETTYPEID","DSETTYPE","DSTYPNOTE","CREATED_AT","UPDATED_AT"
-9999,"no data",NA,"2024-03-12 10:04:38.549 +0100","2024-03-12 10:04:38.549 +0100"
1,"geochronologic",NA,"2024-03-11 16:17:06.906 +0100",""
2,"loss-on-ignition",NA,"2024-03-11 16:17:06.906 +0100",""
3,"pollen",NA,"2024-03-11 16:17:06.906 +0100",""
4,"plant macrofossil",NA,"2024-03-11 16:17:06.906 +0100",""
5,"vertebrate fauna",NA,"2024-03-11 16:17:06.906 +0100",""
6,"macroinvertebrate",NA,"2024-03-11 16:17:06.906 +0100",""
7,"pollen surface sample",NA,"2024-03-11 16:17:06.906 +0100",""
8,"insect",NA,"2024-03-11 16:17:06.906 +0100",""
9,"ostracode",NA,"2024-03-11 16:17:06.906 +0100",""
10,"water chemistry",NA,"2024-03-11 16:17:06.906 +0100",""
11,"diatom",NA,"2024-03-11 16:17:06.906 +0100",""
12,"ostracode surface sample",NA,"2024-03-11 16:17:06.906 +0100",""
13,"diatom surface sample",NA,"2024-03-11 16:17:06.906 +0100",""
14,"geochemistry",NA,"2024-03-11 16:17:06.906 +0100",""
15,"physical sedimentology",NA,"2024-03-11 16:17:06.906 +0100",""
16,"charcoal",NA,"2024-03-11 16:17:06.906 +0100",""
17,"testate amoebae",NA,"2024-03-11 16:17:06.906 +0100",""
18,"X-ray fluorescence (XRF)",NA,"2024-03-11 16:17:06.906 +0100",""
19,"X-ray diffraction (XRD)",NA,"2024-03-11 16:17:06.906 +0100",""
20,"energy dispersive X-ray spectroscopy (EDS/EDX)",NA,"2024-03-11 16:17:06.906 +0100",""
21,"biomarker",NA,"2024-03-11 16:17:06.906 +0100",""
22,"modern plant biomarker",NA,"2024-03-11 16:17:06.906 +0100",""
23,"phytolith",NA,"2024-03-11 16:17:06.906 +0100",""
24,"specimen stable isotope",NA,"2024-03-11 16:17:06.906 +0100",""
25,"paleomagnetic",NA,"2024-03-11 16:17:06.906 +0100",""
26,"biochemistry",NA,"2024-03-11 16:17:06.906 +0100",""
27,"modern biochemistry",NA,"2024-03-11 16:17:06.906 +0100",""
28,"organic carbon",NA,"2024-03-11 16:17:06.906 +0100",""
29,"insect modern",NA,"2024-03-11 16:17:06.906 +0100",""
30,"chironomid",NA,"2024-03-11 16:17:06.906 +0100",""
31,"stable isotope",NA,"2024-03-11 16:17:06.906 +0100",""
32,"testate amoebae surface sample",NA,"2024-03-11 16:17:06.906 +0100",""
33,"charcoal surface sample",NA,"2024-03-11 16:17:06.906 +0100",""
34,"cladocera",NA,"2024-03-11 16:17:06.906 +0100",""
35,"diatom top-bottom",NA,"2024-03-11 16:17:06.906 +0100",""
36,"microcharcoal",NA,"2024-03-11 16:17:06.906 +0100",""
37,"macrocharcoal",NA,"2024-03-11 16:17:06.906 +0100",""
38,"pollen trap",NA,"2024-03-11 16:17:06.906 +0100",""
39,"dinoflagellates",NA,"2024-03-11 16:17:06.906 +0100",""
40,"sedimentary DNA",NA,"2024-03-11 16:17:06.906 +0100",""
41,"diatom bottom sample",NA,"2024-03-11 16:17:06.906 +0100",""
