"IBRAID","IBRACODE","IBRAREGION","CREATED_AT","UPDATED_AT"
10,CAR,Carnarvon,2021-11-19 12:11:05.011 +0100,
11,CEA,Central Arnhem,2021-11-19 12:11:05.011 +0100,
12,CEK,Central Kimberley,2021-11-19 12:11:05.011 +0100,
13,CER,Central Ranges,2021-11-19 12:11:05.011 +0100,
14,CHC,Channel Country,2021-11-19 12:11:05.011 +0100,
15,CMC,Central Mackay Coast,2021-11-19 12:11:05.011 +0100,
16,COO,Coolgardie,2021-11-19 12:11:05.011 +0100,
17,COP,Cobar Peneplain,2021-11-19 12:11:05.011 +0100,
18,COS,Coral Sea,2021-11-19 12:11:05.011 +0100,
19,CYP,Cape York Peninsula,2021-11-19 12:11:05.011 +0100,
34,GES,Geraldton Sandplains,2021-11-19 12:11:05.011 +0100,
35,GFU,Gulf Fall and Uplands,2021-11-19 12:11:05.011 +0100,
36,GID,Gibson Desert,2021-11-19 12:11:05.011 +0100,
37,GSD,Great Sandy Desert,2021-11-19 12:11:05.011 +0100,
38,GUC,Gulf Coastal,2021-11-19 12:11:05.011 +0100,
39,GUP,Gulf Plains,2021-11-19 12:11:05.011 +0100,
40,GVD,Great Victoria Desert,2021-11-19 12:11:05.011 +0100,
41,HAM,Hampton,2021-11-19 12:11:05.011 +0100,
42,ITI,Indian Tropical Islands,2021-11-19 12:11:05.011 +0100,
43,JAF,Jarrah Forest,2021-11-19 12:11:05.011 +0100,
44,KAN,Kanmantoo,2021-11-19 12:11:05.011 +0100,
45,KIN,King,2021-11-19 12:11:05.011 +0100,
46,LSD,Little Sandy Desert,2021-11-19 12:11:05.011 +0100,
47,MAC,MacDonnell Ranges,2021-11-19 12:11:05.011 +0100,
48,MAL,Mallee,2021-11-19 12:11:05.011 +0100,
49,MDD,Murray Darling Depression,2021-11-19 12:11:05.011 +0100,
50,MGD,Mitchell Grass Downs,2021-11-19 12:11:05.011 +0100,
51,MII,Mount Isa Inlier,2021-11-19 12:11:05.011 +0100,
52,MUL,Mulga Lands,2021-11-19 12:11:05.011 +0100,
53,MUR,Murchison,2021-11-19 12:11:05.011 +0100,
54,NAN,Nandewar,2021-11-19 12:11:05.011 +0100,
55,NCP,Naracoorte Coastal Plain,2021-11-19 12:11:05.011 +0100,
56,NET,New England Tablelands,2021-11-19 12:11:05.011 +0100,
57,NNC,NSW North Coast,2021-11-19 12:11:05.011 +0100,
58,NOK,Northern Kimberley,2021-11-19 12:11:05.011 +0100,
59,NSS,NSW South Western Slopes,2021-11-19 12:11:05.011 +0100,
60,NUL,Nullarbor,2021-11-19 12:11:05.011 +0100,
61,OVP,Ord Victoria Plain,2021-11-19 12:11:05.011 +0100,
62,PCK,Pine Creek,2021-11-19 12:11:05.011 +0100,
63,PIL,Pilbara,2021-11-19 12:11:05.011 +0100,
64,PSI,Pacific Subtropical Islands,2021-11-19 12:11:05.011 +0100,
65,RIV,Riverina,2021-11-19 12:11:05.011 +0100,
66,SAI,Subantarctic Islands,2021-11-19 12:11:05.011 +0100,
67,SCP,South East Coastal Plain,2021-11-19 12:11:05.011 +0100,
68,SEC,South East Corner,2021-11-19 12:11:05.011 +0100,
69,SEH,South Eastern Highlands,2021-11-19 12:11:05.011 +0100,
70,SEQ,South Eastern Queensland,2021-11-19 12:11:05.011 +0100,
71,SSD,Simpson Strzelecki Dunefields,2021-11-19 12:11:05.011 +0100,
72,STP,Stony Plains,2021-11-19 12:11:05.011 +0100,
73,STU,Sturt Plateau,2021-11-19 12:11:05.011 +0100,
74,SVP,Southern Volcanic Plain,2021-11-19 12:11:05.011 +0100,
75,SWA,Swan Coastal Plain,2021-11-19 12:11:05.011 +0100,
76,SYB,Sydney Basin,2021-11-19 12:11:05.011 +0100,
77,TAN,Tanami,2021-11-19 12:11:05.011 +0100,
78,TCH,Tasmanian Central Highlands,2021-11-19 12:11:05.011 +0100,
