RIVID,AHGFL1,AHGFL2,RIVNAME,RIVDIV,CREATED_AT,UPDATED_AT
-9999,NA,NA,NA,NA,19.11.21,
1,CC,CC_01,Koolatong River,Carpentaria Coast,19.11.21,
2,CC,CC_02,Walker River,Carpentaria Coast,19.11.21,
3,CC,CC_03,Groote Eylandt,Carpentaria Coast,19.11.21,
4,CC,CC_04,Roper River,Carpentaria Coast,19.11.21,
5,CC,CC_05,Towns River,Carpentaria Coast,19.11.21,
6,CC,CC_06,Limmen Bight River,Carpentaria Coast,19.11.21,
7,CC,CC_07,Rosie River,Carpentaria Coast,19.11.21,
8,CC,CC_08,Mcarthur River,Carpentaria Coast,19.11.21,
9,CC,CC_09,Robinson River,Carpentaria Coast,19.11.21,
10,CC,CC_10,Calvert River,Carpentaria Coast,19.11.21,
11,CC,CC_11,Settlement Creek,Carpentaria Coast,19.11.21,
12,CC,CC_12,Mornington Island,Carpentaria Coast,19.11.21,
13,CC,CC_13,Nicholson-Leichhardt Rivers,Carpentaria Coast,19.11.21,
14,CC,CC_14,Morning Inlet,Carpentaria Coast,19.11.21,
15,CC,CC_15,Flinders-Norman Rivers,Carpentaria Coast,19.11.21,
16,CC,CC_16,Mitchell-Coleman Rivers (QLD),Carpentaria Coast,19.11.21,
17,CC,CC_17,Holroyd River,Carpentaria Coast,19.11.21,
18,CC,CC_18,Archer-Watson Rivers,Carpentaria Coast,19.11.21,
19,CC,CC_19,Ward River,Carpentaria Coast,19.11.21,
20,CC,CC_20,Embley River,Carpentaria Coast,19.11.21,
21,CC,CC_21,Wenlock River,Carpentaria Coast,19.11.21,
22,CC,CC_22,Ducie River,Carpentaria Coast,19.11.21,
23,CC,CC_23,Jardine River,Carpentaria Coast,19.11.21,
24,CC,CC_24,Torres Strait Islands,Carpentaria Coast,19.11.21,
25,LEB,LEB_01,Cooper Creek-Bulloo River,Lake Eyre Basin,19.11.21,
26,LEB,LEB_02,Diamantina-Georgina Rivers,Lake Eyre Basin,19.11.21,
27,LEB,LEB_03,Lake Eyre,Lake Eyre Basin,19.11.21,
28,MDB,MDB_01,Upper Murray River,Murray-Darling Basin,19.11.21,
29,MDB,MDB_02,Kiewa River,Murray-Darling Basin,19.11.21,
30,MDB,MDB_03,Ovens River,Murray-Darling Basin,19.11.21,
31,MDB,MDB_04,Broken River,Murray-Darling Basin,19.11.21,
32,MDB,MDB_05,Goulburn River,Murray-Darling Basin,19.11.21,
33,MDB,MDB_06,Campaspe River,Murray-Darling Basin,19.11.21,
34,MDB,MDB_07,Loddon River,Murray-Darling Basin,19.11.21,
35,MDB,MDB_08,Avoca River,Murray-Darling Basin,19.11.21,
36,MDB,MDB_09,Avon River-Tyrell Lake,Murray-Darling Basin,19.11.21,
37,MDB,MDB_10,Murray Riverina,Murray-Darling Basin,19.11.21,
38,MDB,MDB_11,Billabong-Yanco Creeks,Murray-Darling Basin,19.11.21,
39,MDB,MDB_12,Murrumbidgee River,Murray-Darling Basin,19.11.21,
40,MDB,MDB_13,Lachlan River,Murray-Darling Basin,19.11.21,
41,MDB,MDB_14,Benanee-Willandra Creek,Murray-Darling Basin,19.11.21,
42,MDB,MDB_15,Wimmera River,Murray-Darling Basin,19.11.21,
43,MDB,MDB_16,Upper Mallee,Murray-Darling Basin,19.11.21,
44,MDB,MDB_17,Border Rivers,Murray-Darling Basin,19.11.21,
45,MDB,MDB_18,Moonie River,Murray-Darling Basin,19.11.21,
46,MDB,MDB_19,Gwydir River,Murray-Darling Basin,19.11.21,
47,MDB,MDB_20,Namoi River,Murray-Darling Basin,19.11.21,
48,MDB,MDB_21,Castlereagh River,Murray-Darling Basin,19.11.21,
49,MDB,MDB_22,Macquarie-Bogan Rivers,Murray-Darling Basin,19.11.21,
50,MDB,MDB_23,Condamine-Culgoa Rivers,Murray-Darling Basin,19.11.21,
51,MDB,MDB_24,Warrego River,Murray-Darling Basin,19.11.21,
52,MDB,MDB_25,Paroo River,Murray-Darling Basin,19.11.21,
53,MDB,MDB_26,Darling River,Murray-Darling Basin,19.11.21,
54,MDB,MDB_27,Lower Mallee,Murray-Darling Basin,19.11.21,
55,MDB,MDB_28,Lower Murray River,Murray-Darling Basin,19.11.21,
56,NEC,NEC_01,Jacky Jacky Creek,North East Coast,19.11.21,
57,NEC,NEC_02,Olive-Pascoe Rivers,North East Coast,19.11.21,
58,NEC,NEC_03,Lockhart River,North East Coast,19.11.21,
59,NEC,NEC_04,Stewart River,North East Coast,19.11.21,
60,NEC,NEC_05,Normanby River,North East Coast,19.11.21,
61,NEC,NEC_06,Jeannie River,North East Coast,19.11.21,
62,NEC,NEC_07,Endeavour River,North East Coast,19.11.21,
63,NEC,NEC_08,Daintree River,North East Coast,19.11.21,
64,NEC,NEC_09,Mossman River,North East Coast,19.11.21,
65,NEC,NEC_10,Barron River,North East Coast,19.11.21,
66,NEC,NEC_11,Mulgrave-Russell Rivers,North East Coast,19.11.21,
67,NEC,NEC_12,Johnstone River,North East Coast,19.11.21,
68,NEC,NEC_13,Tully-Murray Rivers,North East Coast,19.11.21,
69,NEC,NEC_14,Cardwell Coast,North East Coast,19.11.21,
70,NEC,NEC_15,Hinchinbrook Island,North East Coast,19.11.21,
71,NEC,NEC_16,Herbert River,North East Coast,19.11.21,
72,NEC,NEC_17,Black River,North East Coast,19.11.21,
73,NEC,NEC_18,Ross River,North East Coast,19.11.21,
74,NEC,NEC_19,Haughton River,North East Coast,19.11.21,
75,NEC,NEC_20,Burdekin River,North East Coast,19.11.21,
76,NEC,NEC_21,Don River,North East Coast,19.11.21,
77,NEC,NEC_22,Proserpine River,North East Coast,19.11.21,
78,NEC,NEC_23,Whitsunday Islands,North East Coast,19.11.21,
79,NEC,NEC_24,O'connell River,North East Coast,19.11.21,
80,NEC,NEC_25,Pioneer River,North East Coast,19.11.21,
81,NEC,NEC_26,Plane Creek,North East Coast,19.11.21,
82,NEC,NEC_27,Styx River,North East Coast,19.11.21,
83,NEC,NEC_28,Shoalwater Creek,North East Coast,19.11.21,
84,NEC,NEC_29,Water Park Creek,North East Coast,19.11.21,
85,NEC,NEC_30,Fitzroy River (QLD),North East Coast,19.11.21,
86,NEC,NEC_31,Calliope River,North East Coast,19.11.21,
87,NEC,NEC_32,Curtis Island,North East Coast,19.11.21,
88,NEC,NEC_33,Boyne River,North East Coast,19.11.21,
89,NEC,NEC_34,Baffle Creek,North East Coast,19.11.21,
90,NEC,NEC_35,Kolan River,North East Coast,19.11.21,
91,NEC,NEC_36,Burnett River,North East Coast,19.11.21,
92,NEC,NEC_37,Burrum River,North East Coast,19.11.21,
93,NEC,NEC_38,Mary River (QLD),North East Coast,19.11.21,
94,NEC,NEC_39,Fraser Island,North East Coast,19.11.21,
95,NEC,NEC_40,Noosa River,North East Coast,19.11.21,
96,NEC,NEC_41,Maroochy River,North East Coast,19.11.21,
97,NEC,NEC_42,Pine River,North East Coast,19.11.21,
98,NEC,NEC_43,Brisbane River,North East Coast,19.11.21,
99,NEC,NEC_44,Stradbroke Island,North East Coast,19.11.21,
100,NEC,NEC_45,Logan-Albert Rivers,North East Coast,19.11.21,
101,NEC,NEC_46,South Coast,North East Coast,19.11.21,
102,NWP,NWP_01,De Grey River,North Western Plateau,19.11.21,
103,NWP,NWP_02,Sandy Desert,North Western Plateau,19.11.21,
104,PG,PG_01,Greenough River,Pilbara-Gascoyne,19.11.21,
105,PG,PG_02,Murchison River,Pilbara-Gascoyne,19.11.21,
106,PG,PG_03,Wooramel River,Pilbara-Gascoyne,19.11.21,
107,PG,PG_04,Gascoyne River,Pilbara-Gascoyne,19.11.21,
108,PG,PG_05,Yannarie River,Pilbara-Gascoyne,19.11.21,
109,PG,PG_06,Ashburton River,Pilbara-Gascoyne,19.11.21,
110,PG,PG_07,Onslow Coast,Pilbara-Gascoyne,19.11.21,
111,PG,PG_08,Fortescue River,Pilbara-Gascoyne,19.11.21,
112,PG,PG_09,Port Hedland Coast,Pilbara-Gascoyne,19.11.21,
113,SAG,SAG_01,Fleurieu Peninsula,South Australian Gulf,19.11.21,
114,SAG,SAG_02,Myponga River,South Australian Gulf,19.11.21,
115,SAG,SAG_03,Onkaparinga River,South Australian Gulf,19.11.21,
116,SAG,SAG_04,Torrens River,South Australian Gulf,19.11.21,
117,SAG,SAG_05,Gawler River,South Australian Gulf,19.11.21,
118,SAG,SAG_06,Wakefield River,South Australian Gulf,19.11.21,
119,SAG,SAG_07,Broughton River,South Australian Gulf,19.11.21,
120,SAG,SAG_08,Lake Torrens-Mambray Coast,South Australian Gulf,19.11.21,
121,SAG,SAG_09,Spencer Gulf,South Australian Gulf,19.11.21,
122,SAG,SAG_10,Eyre Peninsula,South Australian Gulf,19.11.21,
123,SAG,SAG_11,Kangaroo Island,South Australian Gulf,19.11.21,
124,SEN,SEN_01,Tweed River,South East Coast (NSW),19.11.21,
125,SEN,SEN_02,Brunswick River,South East Coast (NSW),19.11.21,
126,SEN,SEN_03,Richmond River,South East Coast (NSW),19.11.21,
127,SEN,SEN_04,Clarence River,South East Coast (NSW),19.11.21,
128,SEN,SEN_05,Bellinger River,South East Coast (NSW),19.11.21,
129,SEN,SEN_06,Macleay River,South East Coast (NSW),19.11.21,
130,SEN,SEN_07,Hastings River,South East Coast (NSW),19.11.21,
131,SEN,SEN_08,Manning River,South East Coast (NSW),19.11.21,
132,SEN,SEN_09,Karuah River,South East Coast (NSW),19.11.21,
133,SEN,SEN_10,Hunter River,South East Coast (NSW),19.11.21,
134,SEN,SEN_11,Macquarie-Tuggerah Lakes,South East Coast (NSW),19.11.21,
135,SEN,SEN_12,Hawkesbury River,South East Coast (NSW),19.11.21,
136,SEN,SEN_13,Sydney Coast-Georges River,South East Coast (NSW),19.11.21,
137,SEN,SEN_14,Wollongong Coast,South East Coast (NSW),19.11.21,
138,SEN,SEN_15,Shoalhaven River,South East Coast (NSW),19.11.21,
139,SEN,SEN_16,Clyde River-Jervis Bay,South East Coast (NSW),19.11.21,
140,SEN,SEN_17,Moruya River,South East Coast (NSW),19.11.21,
141,SEN,SEN_18,Tuross River,South East Coast (NSW),19.11.21,
142,SEN,SEN_19,Bega River,South East Coast (NSW),19.11.21,
143,SEN,SEN_20,Towamba River,South East Coast (NSW),19.11.21,
144,SEV,SEV_01,East Gippsland,South East Coast (Victoria),19.11.21,
145,SEV,SEV_02,Snowy River,South East Coast (Victoria),19.11.21,
146,SEV,SEV_03,Mitchell-Thomson Rivers,South East Coast (Victoria),19.11.21,
147,SEV,SEV_04,South Gippsland,South East Coast (Victoria),19.11.21,
148,SEV,SEV_05,Bunyip River,South East Coast (Victoria),19.11.21,
149,SEV,SEV_06,Yarra River,South East Coast (Victoria),19.11.21,
150,SEV,SEV_07,Werribee River,South East Coast (Victoria),19.11.21,
151,SEV,SEV_08,Little River,South East Coast (Victoria),19.11.21,
152,SEV,SEV_09,Barwon River-Lake Corangamite,South East Coast (Victoria),19.11.21,
153,SEV,SEV_10,Otway Coast,South East Coast (Victoria),19.11.21,
154,SEV,SEV_11,Hopkins River,South East Coast (Victoria),19.11.21,
155,SEV,SEV_12,Portland Coast,South East Coast (Victoria),19.11.21,
156,SEV,SEV_13,Glenelg River,South East Coast (Victoria),19.11.21,
157,SEV,SEV_14,Millicent Coast,South East Coast (Victoria),19.11.21,
158,SWC,SWC_01,Esperance Coast,South West Coast,19.11.21,
159,SWC,SWC_02,Albany Coast,South West Coast,19.11.21,
160,SWC,SWC_03,Denmark River,South West Coast,19.11.21,
161,SWC,SWC_04,Kent River,South West Coast,19.11.21,
162,SWC,SWC_05,Frankland-Deep Rivers,South West Coast,19.11.21,
163,SWC,SWC_06,Shannon River,South West Coast,19.11.21,
164,SWC,SWC_07,Warren River,South West Coast,19.11.21,
165,SWC,SWC_08,Donnelly River,South West Coast,19.11.21,
166,SWC,SWC_09,Blackwood River,South West Coast,19.11.21,
167,SWC,SWC_10,Busselton Coast,South West Coast,19.11.21,
168,SWC,SWC_11,Collie-Preston Rivers,South West Coast,19.11.21,
169,SWC,SWC_12,Murray River (WA),South West Coast,19.11.21,
170,SWC,SWC_13,Swan Coast-Avon River,South West Coast,19.11.21,
171,SWC,SWC_14,Moore-Hill Rivers,South West Coast,19.11.21,
172,SWP,SWP_01,Gairdner,South Western Plateau,19.11.21,
173,SWP,SWP_02,Nullarbor,South Western Plateau,19.11.21,
174,SWP,SWP_03,Salt Lake,South Western Plateau,19.11.21,
175,TAS,TAS_01,Flinders-Cape Barren Islands,Tasmania,19.11.21,
176,TAS,TAS_02,East Coast,Tasmania,19.11.21,
177,TAS,TAS_03,Coal River,Tasmania,19.11.21,
178,TAS,TAS_04,Derwent River,Tasmania,19.11.21,
179,TAS,TAS_05,Kingston Coast,Tasmania,19.11.21,
180,TAS,TAS_06,Huon River,Tasmania,19.11.21,
181,TAS,TAS_07,South-West Coast,Tasmania,19.11.21,
182,TAS,TAS_08,Gordon River,Tasmania,19.11.21,
183,TAS,TAS_09,King-Henty Rivers,Tasmania,19.11.21,
184,TAS,TAS_10,Pieman River,Tasmania,19.11.21,
185,TAS,TAS_11,Sandy Cape Coast,Tasmania,19.11.21,
186,TAS,TAS_12,Arthur River,Tasmania,19.11.21,
187,TAS,TAS_13,King Island,Tasmania,19.11.21,
188,TAS,TAS_14,Smithton-Burnie Coast,Tasmania,19.11.21,
189,TAS,TAS_15,Forth River,Tasmania,19.11.21,
190,TAS,TAS_16,Mersey River,Tasmania,19.11.21,
191,TAS,TAS_17,Rubicon River,Tasmania,19.11.21,
192,TAS,TAS_18,Tamar River,Tasmania,19.11.21,
193,TAS,TAS_19,Piper-Ringarooma Rivers,Tasmania,19.11.21,
194,TTS,TTS_01,Cape Leveque Coast,Tanami-Timor Sea Coast,19.11.21,
195,TTS,TTS_02,Fitzroy River (WA),Tanami-Timor Sea Coast,19.11.21,
196,TTS,TTS_03,Lennard River,Tanami-Timor Sea Coast,19.11.21,
197,TTS,TTS_04,Isdell River,Tanami-Timor Sea Coast,19.11.21,
198,TTS,TTS_05,Prince Regent River,Tanami-Timor Sea Coast,19.11.21,
199,TTS,TTS_06,King Edward River,Tanami-Timor Sea Coast,19.11.21,
200,TTS,TTS_07,Drysdale River,Tanami-Timor Sea Coast,19.11.21,
201,TTS,TTS_08,Ord-Pentecost Rivers,Tanami-Timor Sea Coast,19.11.21,
202,TTS,TTS_09,Keep River,Tanami-Timor Sea Coast,19.11.21,
203,TTS,TTS_10,Victoria River-wiso,Tanami-Timor Sea Coast,19.11.21,
204,TTS,TTS_11,Fitzmaurice River,Tanami-Timor Sea Coast,19.11.21,
205,TTS,TTS_12,Moyle River,Tanami-Timor Sea Coast,19.11.21,
206,TTS,TTS_13,Daly River,Tanami-Timor Sea Coast,19.11.21,
207,TTS,TTS_14,Finniss River,Tanami-Timor Sea Coast,19.11.21,
208,TTS,TTS_15,Bathurst-Melville Islands,Tanami-Timor Sea Coast,19.11.21,
209,TTS,TTS_16,Adelaide River,Tanami-Timor Sea Coast,19.11.21,
210,TTS,TTS_17,Mary River (NT),Tanami-Timor Sea Coast,19.11.21,
211,TTS,TTS_18,Wildman River,Tanami-Timor Sea Coast,19.11.21,
212,TTS,TTS_19,South Alligator River,Tanami-Timor Sea Coast,19.11.21,
213,TTS,TTS_20,East Alligator River,Tanami-Timor Sea Coast,19.11.21,
214,TTS,TTS_21,Goomadeer River,Tanami-Timor Sea Coast,19.11.21,
215,TTS,TTS_22,Liverpool River,Tanami-Timor Sea Coast,19.11.21,
216,TTS,TTS_23,Blyth River,Tanami-Timor Sea Coast,19.11.21,
217,TTS,TTS_24,Goyder River,Tanami-Timor Sea Coast,19.11.21,
218,TTS,TTS_25,Buckingham River,Tanami-Timor Sea Coast,19.11.21,
