V_UNITID,V_UNITABBR,V_UNITNAME,PARENTID,CREATED_AT,UPDATED_AT
-9999,ND,no data,-9999,2023-09-05 12:34:37.239 +0200,2023-09-05 12:34:37.239 +0200
1,quant,quantity,1,2023-04-16 15:39:20.660 +0200,
2,qual,quality,2,2023-04-16 15:39:20.660 +0200,
3,length,lenght (indet.),1,2023-04-16 15:39:20.660 +0200,
4,area,area (indet.),1,2023-04-16 15:39:20.660 +0200,
5,volume,volume (indet.),1,2023-04-16 15:39:20.660 +0200,
6,mass,mass (indet.),1,2023-04-16 15:39:20.660 +0200,
7,t,time (indet.),1,2023-04-16 15:39:20.660 +0200,
8,T,temperature (indet.),1,2023-04-16 15:39:20.660 +0200,
9,conc,concentration (indet.),1,2023-04-16 15:39:20.660 +0200,
10,m.conc,mass concentration,1,2023-04-16 15:39:20.660 +0200,
11,mol.conc,molar concentration,1,2023-04-16 15:39:20.660 +0200,
12,n.conc,number concentration,1,2023-04-16 15:39:20.660 +0200,
13,vol.conc,volume concentration,1,2023-04-16 15:39:20.660 +0200,
14,m.frac,mass fraction,15,2023-04-16 15:39:20.660 +0200,
15,dimless,dimensionless,1,2023-04-16 15:39:20.660 +0200,
16,pts (indet.),points (indet.),2,2023-04-16 15:39:20.660 +0200,
17,pts,points counted,1,2023-04-16 15:39:20.660 +0200,
18,cts (indet.),counts (indet.),2,2023-04-16 15:39:20.660 +0200,
19,grns (indet.),grains (indet.),2,2023-04-16 15:39:20.660 +0200,
20,grns,grains counted,1,2023-04-16 15:39:20.660 +0200,
21,n,number,21,2023-04-16 15:39:20.660 +0200,
22,NISP,number of identified specimen,1,2023-04-16 15:39:20.660 +0200,
23,parts (indet.),particles (indet.),2,2023-04-16 15:39:20.660 +0200,
24,parts,particles counted,1,2023-04-16 15:39:20.660 +0200,
25,frags (indet.),fragments (indet.),2,2023-04-16 15:39:20.660 +0200,
26,frags,fragments counted,1,2023-04-16 15:39:20.660 +0200,
27,sphrs (indet.),spheres (indet.),2,2023-04-16 15:39:20.660 +0200,
28,sphrs,spheres counted,1,2023-04-16 15:39:20.660 +0200,
29,pollen (indet.),pollen (indet.),2,2023-04-16 15:39:20.660 +0200,
30,pollen,pollen counted,1,2023-04-16 15:39:20.660 +0200,
31,nods (indet.),nodules (indet.),2,2023-04-16 15:39:20.660 +0200,
32,nods,nodules counted,1,2023-04-16 15:39:20.660 +0200,
33,tabl,tablet,2,2023-04-16 15:39:20.660 +0200,
34,pix (indet.),pixel (indet.),2,2023-04-16 15:39:20.660 +0200,
35,pix,pixels counted,1,2023-04-16 15:39:20.660 +0200,
36,aliq,aliquot,2,2023-04-16 15:39:20.660 +0200,
37,spec,specimen (individual),2,2023-04-16 15:39:20.660 +0200,
38,ratio,ratio (indet.),38,2023-04-16 15:39:20.660 +0200,
39,abud,abundance,39,2023-04-16 15:39:20.660 +0200,
40,pres,presence,2,2023-04-16 15:39:20.660 +0200,
41,abs,absence,2,2023-04-16 15:39:20.660 +0200,
42,pres/abs,presence/absence (indet.),2,2023-04-16 15:39:20.660 +0200,
43,u,units (indet.),2,2023-04-16 15:39:20.660 +0200,
44,u (arb.),units (arbitrary),2,2023-04-16 15:39:20.660 +0200,
45,psdo,pseudo-unit,15,2023-04-16 15:39:20.660 +0200,
46,peak,peak measured,2,2023-04-16 15:39:20.660 +0200,
47,volmc,volumetric (indet.),2,2023-04-16 15:39:20.660 +0200,
48,gravc,gravimetric (indet.),2,2023-04-16 15:39:20.660 +0200,
49,%,percent,45,2023-04-16 15:39:20.660 +0200,
50,‰,per mil,45,2023-04-16 15:39:20.660 +0200,
51,km,kilometer,3,2023-04-16 15:39:20.660 +0200,
52,m,meter,3,2023-04-16 15:39:20.660 +0200,
53,dm,decimeter,3,2023-04-16 15:39:20.660 +0200,
54,cm,centimeter,3,2023-04-16 15:39:20.660 +0200,
55,mm,millimeter,3,2023-04-16 15:39:20.660 +0200,
56,µm,micrometer,3,2023-04-16 15:39:20.660 +0200,
57,nm,nanometer,3,2023-04-16 15:39:20.660 +0200,
58,km^2,square kilometer,4,2023-04-16 15:39:20.660 +0200,
59,ha,hectare,4,2023-04-16 15:39:20.660 +0200,
60,m^2,square meter,4,2023-04-16 15:39:20.660 +0200,
61,dm^2,square decimeter,4,2023-04-16 15:39:20.660 +0200,
62,cm^2,square centimeter,4,2023-04-16 15:39:20.660 +0200,
63,mm^2,square millimeter,4,2023-04-16 15:39:20.660 +0200,
64,µm^2,square micrometer,4,2023-04-16 15:39:20.660 +0200,
65,nm^2,square nanometer,4,2023-04-16 15:39:20.660 +0200,
66,km^3,cubic kilometer,5,2023-04-16 15:39:20.660 +0200,
67,m^3,cubic meter,5,2023-04-16 15:39:20.660 +0200,
68,dm^3,cubic decimeter,5,2023-04-16 15:39:20.660 +0200,
69,cm^3,cubic centimeter,5,2023-04-16 15:39:20.660 +0200,
70,mm^3,cubic millimeter,5,2023-04-16 15:39:20.660 +0200,
71,µm^3,cubic micrometer,5,2023-04-16 15:39:20.660 +0200,
72,nm^3,cubic nanometer,5,2023-04-16 15:39:20.660 +0200,
73,L,litre,5,2023-04-16 15:39:20.660 +0200,
74,dl,decilitre,5,2023-04-16 15:39:20.660 +0200,
75,cl,centilitre,5,2023-04-16 15:39:20.660 +0200,
76,ml,millilitre,5,2023-04-16 15:39:20.660 +0200,
77,µl,microlitre,5,2023-04-16 15:39:20.660 +0200,
78,nl,nanolitre,5,2023-04-16 15:39:20.660 +0200,
79,kg,kilogram,6,2023-04-16 15:39:20.660 +0200,
80,g,gram,6,2023-04-16 15:39:20.660 +0200,
81,mg,milligram,6,2023-04-16 15:39:20.660 +0200,
82,µg,microgram,6,2023-04-16 15:39:20.660 +0200,
83,ng,nanogram,6,2023-04-16 15:39:20.660 +0200,
84,°C,degree Celsius,7,2023-04-16 15:39:20.660 +0200,
85,K,kelvin,7,2023-04-16 15:39:20.660 +0200,
86,°F,degree Fahrenheit,7,2023-04-16 15:39:20.660 +0200,
87,kyr,year * 1000,7,2023-04-16 15:39:20.660 +0200,
88,yr,year,7,2023-04-16 15:39:20.660 +0200,
89,mos,month,7,2023-04-16 15:39:20.660 +0200,
90,day,day,7,2023-04-16 15:39:20.660 +0200,
91,hrs,hour,7,2023-04-16 15:39:20.660 +0200,
92,min,minute,7,2023-04-16 15:39:20.660 +0200,
93,sec,second,7,2023-04-16 15:39:20.660 +0200,
94,in,inch,3,2023-04-16 15:39:20.660 +0200,
95,ft,foot,3,2023-04-16 15:39:20.660 +0200,
96,mi,mile,3,2023-04-16 15:39:20.660 +0200,
97,nmi,nautical mile,3,2023-04-16 15:39:20.660 +0200,
98,oz,ounce,6,2023-04-16 15:39:20.660 +0200,
99,lb,pound,6,2023-04-16 15:39:20.660 +0200,
100,fl oz,fluid ounce,5,2023-04-16 15:39:20.660 +0200,
101,gal,gallon,5,2023-04-16 15:39:20.660 +0200,
102,ppm,parts per million,45,2023-04-16 15:39:20.660 +0200,
103,ppb,parts per billion,45,2023-04-16 15:39:20.660 +0200,
104,ppt,parts per trillion,45,2023-04-16 15:39:20.660 +0200,
105,g/L,,10,2023-04-16 15:39:20.660 +0200,
106,mg/L,,10,2023-04-16 15:39:20.660 +0200,
107,µg/L,,10,2023-04-16 15:39:20.660 +0200,
108,ng/L,,10,2023-04-16 15:39:20.660 +0200,
109,g/cm^3,,10,2023-04-16 15:39:20.660 +0200,
110,g/ml,,10,2023-04-16 15:39:20.660 +0200,
111,mg/ml,,10,2023-04-16 15:39:20.660 +0200,
112,pts/ml,,12,2023-04-16 15:39:20.660 +0200,
113,pts/g,,39,2023-04-16 15:39:20.660 +0200,
114,pts/cm^2,,39,2023-04-16 15:39:20.660 +0200,
115,pts/cm^3,,12,2023-04-16 15:39:20.660 +0200,
116,pts/tabl,,39,2023-04-16 15:39:20.660 +0200,
117,pts/area,,39,2023-04-16 15:39:20.660 +0200,
118,pts/aliq,,39,2023-04-16 15:39:20.660 +0200,
119,grns/ml,,12,2023-04-16 15:39:20.660 +0200,
120,grns/g,,39,2023-04-16 15:39:20.660 +0200,
121,grns/cm^2,,39,2023-04-16 15:39:20.660 +0200,
122,grns/cm^3,,12,2023-04-16 15:39:20.660 +0200,
123,grns/tabl,,39,2023-04-16 15:39:20.660 +0200,
124,grns/area,,39,2023-04-16 15:39:20.660 +0200,
125,grns/aliq,,39,2023-04-16 15:39:20.660 +0200,
126,parts/ml,,12,2023-04-16 15:39:20.660 +0200,
127,parts/g,,39,2023-04-16 15:39:20.660 +0200,
128,parts/cm^2,,12,2023-04-16 15:39:20.660 +0200,
129,parts/cm^3,,12,2023-04-16 15:39:20.660 +0200,
130,parts/tabl,,39,2023-04-16 15:39:20.660 +0200,
131,parts/area,,39,2023-04-16 15:39:20.660 +0200,
132,parts/aliq,,39,2023-04-16 15:39:20.660 +0200,
133,frags/ml,,12,2023-04-16 15:39:20.660 +0200,
134,frags/g,,39,2023-04-16 15:39:20.660 +0200,
135,frags/cm^2,,39,2023-04-16 15:39:20.660 +0200,
136,frags/cm^3,,12,2023-04-16 15:39:20.660 +0200,
137,frags/tabl,,39,2023-04-16 15:39:20.660 +0200,
138,frags/area,,39,2023-04-16 15:39:20.660 +0200,
139,frags/aliq,,39,2023-04-16 15:39:20.660 +0200,
140,NISP/ml,,12,2023-04-16 15:39:20.660 +0200,
141,NISP/g,,39,2023-04-16 15:39:20.660 +0200,
142,NISP/cm^2,,39,2023-04-16 15:39:20.660 +0200,
143,NISP/cm^3,,12,2023-04-16 15:39:20.660 +0200,
144,NISP/tabl,,39,2023-04-16 15:39:20.660 +0200,
145,NISP/area,,39,2023-04-16 15:39:20.660 +0200,
146,NISP/aliq,,12,2023-04-16 15:39:20.660 +0200,
147,NISP dig,NISP digitsed,1,2023-04-16 15:39:20.660 +0200,
148,g/kg,,14,2023-04-16 15:39:20.660 +0200,
149,mg/kg,,14,2023-04-16 15:39:20.660 +0200,
150,µg/kg,,14,2023-04-16 15:39:20.660 +0200,
151,ng/kg,,14,2023-04-16 15:39:20.660 +0200,
152,mg/g,,14,2023-04-16 15:39:20.660 +0200,
153,µg/g,,14,2023-04-16 15:39:20.660 +0200,
154,ng/g,,14,2023-04-16 15:39:20.660 +0200,
155,cm^2/ml,,15,2023-04-16 15:39:20.660 +0200,
156,mm^2/ml,,15,2023-04-16 15:39:20.660 +0200,
157,µm^2/ml,,15,2023-04-16 15:39:20.660 +0200,
