"SMPAGEID","SAMPLEID","CHRONLGYID","AGE","AGEYOUNGER","AGEOLDER","CREATED_AT","UPDATED_AT"
3642,3503,84,19,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3643,3503,85,3,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3644,3505,84,23,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3645,3505,85,3,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3646,3507,84,28,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3647,3507,85,4,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3648,3509,84,33,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3649,3509,85,5,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3650,3511,84,37,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3651,3511,85,5,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3652,3513,84,42,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3653,3513,85,6,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3654,3515,84,47,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3655,3515,85,6,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3656,3517,84,52,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3657,3517,85,7,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3658,3519,84,57,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3659,3519,85,8,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3660,3521,84,62,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3661,3521,85,8,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3662,3523,84,66,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3663,3523,85,9,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3664,3525,84,71,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3665,3525,85,10,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3666,3527,84,76,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3667,3527,85,10,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3668,3529,84,80,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3669,3529,85,11,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3670,3531,84,84,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3671,3531,85,11,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3672,3533,84,89,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3673,3533,85,12,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3674,3535,84,94,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3675,3535,85,13,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3676,3537,84,99,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3677,3537,85,13,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3678,3539,84,104,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3679,3539,85,14,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3680,3541,84,109,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3681,3541,85,15,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3682,3543,84,114,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3683,3543,85,15,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3684,3545,84,117,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3685,3545,85,16,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3686,3547,84,121,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3687,3547,85,16,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3688,3549,84,126,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3689,3549,85,17,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3690,3551,84,132,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3691,3551,85,18,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3692,3553,84,136,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3693,3553,85,18,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3694,3555,84,141,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3695,3555,85,19,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
