"SAMPLEID","KEYWORDID","CREATED_AT","UPDATED_AT"
3503,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
30002,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
57558,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
135361,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
135363,2,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
135592,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
135595,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
185111,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
264180,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
279713,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
304622,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
304731,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
343696,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
344341,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
344840,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
346106,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
394935,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
451695,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
451705,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
451803,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
451838,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
499167,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
504164,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
504226,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
504251,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
504401,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
505669,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
505850,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
506338,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
506474,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
522831,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
524911,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
525103,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
525247,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
525325,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
525616,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
525733,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
541463,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
541476,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
541854,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
541869,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
541924,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
542778,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
542841,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
542883,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
560215,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
560417,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
562107,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
613945,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
613979,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
614211,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
614287,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
614324,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
614341,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
614973,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
617049,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
624512,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
624527,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
624550,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
624988,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
627415,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
627437,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
627455,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
637017,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
639554,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
640234,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
640995,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
641084,1,"2024-04-12 09:56:54.003 +0200","2024-04-12 09:56:54.003 +0200"
