"VARIABLEID","TAXONID","VARELEMTID","VARUNITID","VARCONTXID","CREATED_AT","UPDATED_AT"
2,2,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
10,10,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
20,20,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
22,22,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
26,26,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
27,27,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
32,32,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
39,39,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
45,45,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
49,49,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
54,54,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
61,61,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
68,68,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
70,70,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
72,72,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
74,74,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
80,80,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
81,81,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
90,90,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
92,92,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
93,93,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
104,104,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
108,108,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
115,115,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
116,116,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
117,117,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
119,119,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
120,120,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
125,125,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
126,126,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
127,127,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
132,132,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
135,135,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
136,136,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
138,138,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
139,139,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
147,147,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
157,157,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
160,160,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
161,161,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
170,170,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
175,175,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
180,180,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
183,29012,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
184,184,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
185,185,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
188,188,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
