"MATURITYID","MATURITY","CREATED_AT","UPDATED_AT"
1,"distal fused","2024-04-12 16:33:55.506 +0200",NA
2,"distal partially fused","2024-04-12 16:33:55.506 +0200",NA
3,"fused","2024-04-12 16:33:55.506 +0200",NA
4,"juvenile","2024-04-12 16:33:55.506 +0200",NA
5,"partially fused","2024-04-12 16:33:55.506 +0200",NA
6,"proximal fused","2024-04-12 16:33:55.506 +0200",NA
7,"proximal partially fused","2024-04-12 16:33:55.506 +0200",NA
8,"unfused","2024-04-12 16:33:55.506 +0200",NA
9,"infant","2024-04-12 16:33:55.506 +0200",NA
10,"adult","2024-04-12 16:33:55.506 +0200",NA
11,"infant/juvenile","2024-04-12 16:33:55.506 +0200",NA
12,"larva","2024-04-12 16:33:55.506 +0200",NA
