"PORTIONID","PORTION","CREATED_AT","UPDATED_AT"
1,"anterior","2024-04-12 16:27:15.833 +0200",NA
2,"centrum","2024-04-12 16:27:15.833 +0200",NA
3,"complete","2024-04-12 16:27:15.833 +0200",NA
4,"distal","2024-04-12 16:27:15.833 +0200",NA
5,"dorsal","2024-04-12 16:27:15.833 +0200",NA
6,"epiphysis","2024-04-12 16:27:15.833 +0200",NA
7,"fragment","2024-04-12 16:27:15.833 +0200",NA
8,"lateral","2024-04-12 16:27:15.833 +0200",NA
10,"medial","2024-04-12 16:27:15.833 +0200",NA
11,"neural arch","2024-04-12 16:27:15.833 +0200",NA
12,"neural spine","2024-04-12 16:27:15.833 +0200",NA
13,"posterior","2024-04-12 16:27:15.833 +0200",NA
14,"proximal","2024-04-12 16:27:15.833 +0200",NA
15,"shaft","2024-04-12 16:27:15.833 +0200",NA
16,"transverse process","2024-04-12 16:27:15.833 +0200",NA
18,"ventral","2024-04-12 16:27:15.833 +0200",NA
19,"zygopophysis","2024-04-12 16:27:15.833 +0200",NA
20,"lateral condyle","2024-04-12 16:27:15.833 +0200",NA
21,"medial condyle","2024-04-12 16:27:15.833 +0200",NA
22,"trochlea","2024-04-12 16:27:15.833 +0200",NA
23,"head","2024-04-12 16:27:15.833 +0200",NA
24,"distal, medial","2024-04-12 16:27:15.833 +0200",NA
25,"condyle, distal","2024-04-12 16:27:15.833 +0200",NA
26,"condyle","2024-04-12 16:27:15.833 +0200",NA
27,"medial malleolus","2024-04-12 16:27:15.833 +0200",NA
28,"spinous process","2024-04-12 16:27:15.833 +0200",NA
29,"tubercle","2024-04-12 16:27:15.833 +0200",NA
30,"medial crest","2024-04-12 16:27:15.833 +0200",NA
31,"major tuberosity","2024-04-12 16:27:15.833 +0200",NA
32,"base","2024-04-12 16:27:15.833 +0200",NA
33,"tip","2024-04-12 16:27:15.833 +0200",NA
34,"pectoral","2024-04-12 16:27:15.833 +0200",NA
35,"fifth","2024-04-12 16:27:15.833 +0200",NA
36,"fourth","2024-04-12 16:27:15.833 +0200",NA
37,"second","2024-04-12 16:27:15.833 +0200",NA
38,"third","2024-04-12 16:27:15.833 +0200",NA
39,"partial","2024-04-12 16:27:15.833 +0200",NA
40,"radial notch","2024-04-12 16:27:15.833 +0200",NA
41,"root","2024-04-12 16:27:15.833 +0200",NA
42,"corpus","2024-04-12 16:27:15.833 +0200",NA
43,"enamel","2024-04-12 16:27:15.833 +0200",NA
44,"eye orbit","2024-04-12 16:27:15.833 +0200",NA
45,"greater trochanter","2024-04-12 16:27:15.833 +0200",NA
46,"greater trochanteric epiphyseal plate","2024-04-12 16:27:15.833 +0200",NA
47,"lesser trochanter","2024-04-12 16:27:15.833 +0200",NA
50,"distal epiphysis","2024-04-12 16:27:15.833 +0200",NA
51,"proximal epiphysis","2024-04-12 16:27:15.833 +0200",NA
52,"dorsal epiphysis","2024-04-12 16:27:15.833 +0200",NA
53,"epiphyseal plate","2024-04-12 16:27:15.833 +0200",NA
54,"epiphyseal plate, anterior","2024-04-12 16:27:15.833 +0200",NA
55,"epiphyseal plate, posterior","2024-04-12 16:27:15.833 +0200",NA
56,"plate","2024-04-12 16:27:15.833 +0200",NA
57,"blade","2024-04-12 16:27:15.833 +0200",NA
58,"middle","2024-04-12 16:27:15.833 +0200",NA
