"ELEMTYPEID","ELEMENTYPE","DATASRCID","CREATED_AT","UPDATED_AT"
-9999,"no data",NA,"2024-04-12 14:01:54.970 +0200",NA
1,"palynomorph",10,"2024-04-12 14:01:54.970 +0200",NA
2,"pollen",10,"2024-04-12 14:01:54.970 +0200",NA
3,"pollen/spore",10,"2024-04-12 14:01:54.970 +0200",NA
4,"spore",10,"2024-04-12 14:01:54.970 +0200",NA
5,"acetabulum",10,"2024-04-12 14:01:54.970 +0200",NA
6,"antler",10,"2024-04-12 14:01:54.970 +0200",NA
7,"astragalus",10,"2024-04-12 14:01:54.970 +0200",NA
8,"auditory bulla",10,"2024-04-12 14:01:54.970 +0200",NA
9,"baculum",10,"2024-04-12 14:01:54.970 +0200",NA
10,"basihyal",10,"2024-04-12 14:01:54.970 +0200",NA
11,"basioccipital",10,"2024-04-12 14:01:54.970 +0200",NA
12,"basisphenoid",10,"2024-04-12 14:01:54.970 +0200",NA
13,"bone",10,"2024-04-12 14:01:54.970 +0200",NA
14,"bone/tooth",10,"2024-04-12 14:01:54.970 +0200",NA
15,"calcaneum",10,"2024-04-12 14:01:54.970 +0200",NA
16,"carpal",10,"2024-04-12 14:01:54.970 +0200",NA
17,"centralia",10,"2024-04-12 14:01:54.970 +0200",NA
18,"ceratohyoid",10,"2024-04-12 14:01:54.970 +0200",NA
19,"claw",10,"2024-04-12 14:01:54.970 +0200",NA
20,"cuboid",10,"2024-04-12 14:01:54.970 +0200",NA
21,"cuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
22,"dung",10,"2024-04-12 14:01:54.970 +0200",NA
23,"exoccipital",10,"2024-04-12 14:01:54.970 +0200",NA
24,"external cuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
25,"fecal pellet",10,"2024-04-12 14:01:54.970 +0200",NA
26,"femur",10,"2024-04-12 14:01:54.970 +0200",NA
27,"fibula",10,"2024-04-12 14:01:54.970 +0200",NA
28,"frontal",10,"2024-04-12 14:01:54.970 +0200",NA
29,"frontal, antler",10,"2024-04-12 14:01:54.970 +0200",NA
30,"frontal, horn core",10,"2024-04-12 14:01:54.970 +0200",NA
31,"frontal, pedicle",10,"2024-04-12 14:01:54.970 +0200",NA
32,"hair",10,"2024-04-12 14:01:54.970 +0200",NA
33,"horn",10,"2024-04-12 14:01:54.970 +0200",NA
34,"horn core",10,"2024-04-12 14:01:54.970 +0200",NA
35,"humerus",10,"2024-04-12 14:01:54.970 +0200",NA
36,"hyoid",10,"2024-04-12 14:01:54.970 +0200",NA
37,"hyomandibular",10,"2024-04-12 14:01:54.970 +0200",NA
38,"ilium",10,"2024-04-12 14:01:54.970 +0200",NA
39,"innominate",10,"2024-04-12 14:01:54.970 +0200",NA
40,"internal cuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
41,"ischium",10,"2024-04-12 14:01:54.970 +0200",NA
42,"jugal",10,"2024-04-12 14:01:54.970 +0200",NA
43,"limb",10,"2024-04-12 14:01:54.970 +0200",NA
44,"lunate",10,"2024-04-12 14:01:54.970 +0200",NA
45,"magnum",10,"2024-04-12 14:01:54.970 +0200",NA
46,"mandible",10,"2024-04-12 14:01:54.970 +0200",NA
47,"mandibular condyle",10,"2024-04-12 14:01:54.970 +0200",NA
48,"mandibular ramus, edentulous",10,"2024-04-12 14:01:54.970 +0200",NA
49,"mandibular ramus, teeth",10,"2024-04-12 14:01:54.970 +0200",NA
50,"maxilla",10,"2024-04-12 14:01:54.970 +0200",NA
51,"maxilla, edentulous",10,"2024-04-12 14:01:54.970 +0200",NA
52,"maxilla, teeth",10,"2024-04-12 14:01:54.970 +0200",NA
