"VARCONTXID","VARCONTEXT","CREATED_AT","UPDATED_AT"
1,"anachronic","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
2,"articulated","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
3,"derived","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
4,"intrusive","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
5,"redeposited","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
6,"clump","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
7,"anther","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
8,"coquina","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
10,"in growth position","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
11,"in place","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
12,"live","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
14,"burial","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
15,"secondary burial","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
35,"reworked","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
36,"midden","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
37,"tusculus","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
39,"present/absent","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
40,"broken","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
61,"replicate 1","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
62,"replicate 2","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
63,"replicate 3","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
64,"concealed","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
65,"WCHM","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
66,"Neotoma Pollen:broken","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
67,"Neotoma Pollen:corroded","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
68,"Neotoma Pollen:crumpled","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
69,"Neotoma Pollen:degraded","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
70,"Neotoma Pollen:hidden","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
71,"DIAT","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
72,"number","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
73,"CHAR","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
74,"LABO","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
75,"leaf","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
76,"Context","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
77,"grains/g","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
78,"ALGA","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
79,"AQBR","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
80,"AQVP","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
81,"TRSH","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
82,"UNID","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
83,"UPHE","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
84,"VACR","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
85,"for SCPs","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
86,"pre-Quaternary","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
87,"0","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
88,"1","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
89,"10","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
90,"11","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
91,"13","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
92,"15","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
93,"18","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
94,"2","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
95,"3","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
96,"4","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
97,"5","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
98,"6","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
99,"8","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
100,"Ascarina","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
