"VARUNITID","VARUNIT","CREATED_AT","UPDATED_AT"
1,"μm","2024-04-12 12:48:35.652 +0200",NA
2,"μm^2/ml","2024-04-12 12:48:35.652 +0200",NA
3,"μm^2/pollen concentration","2024-04-12 12:48:35.652 +0200",NA
4,"1-5 scale","2024-04-12 12:48:35.652 +0200",NA
5,"cm","2024-04-12 12:48:35.652 +0200",NA
6,"cm^2","2024-04-12 12:48:35.652 +0200",NA
7,"cm^2/ml","2024-04-12 12:48:35.652 +0200",NA
8,"fragments/ml","2024-04-12 12:48:35.652 +0200",NA
9,"g","2024-04-12 12:48:35.652 +0200",NA
10,"g/ml","2024-04-12 12:48:35.652 +0200",NA
11,"grains/aliquot","2024-04-12 12:48:35.652 +0200",NA
12,"grains/g","2024-04-12 12:48:35.652 +0200",NA
13,"grains/g sample","2024-04-12 12:48:35.652 +0200",NA
14,"grains/ml","2024-04-12 12:48:35.652 +0200",NA
15,"grains/tablet","2024-04-12 12:48:35.652 +0200",NA
16,"mmho","2024-04-12 12:48:35.652 +0200",NA
17,"ml","2024-04-12 12:48:35.652 +0200",NA
18,"MNI","2024-04-12 12:48:35.652 +0200",NA
19,"NISP","2024-04-12 12:48:35.652 +0200",NA
20,"number","2024-04-12 12:48:35.652 +0200",NA
21,"number/ml","2024-04-12 12:48:35.652 +0200",NA
22,"particles/ml","2024-04-12 12:48:35.652 +0200",NA
23,"percent","2024-04-12 12:48:35.652 +0200",NA
24,"percent after LOI","2024-04-12 12:48:35.652 +0200",NA
25,"percent dry mass","2024-04-12 12:48:35.652 +0200",NA
26,"present/absent","2024-04-12 12:48:35.652 +0200",NA
27,"units not specified","2024-04-12 12:48:35.652 +0200",NA
28,"NISP digitized","2024-04-12 12:48:35.652 +0200",NA
29,"percent digitized","2024-04-12 12:48:35.652 +0200",NA
30,"°C","2024-04-12 12:48:35.652 +0200",NA
31,"μS","2024-04-12 12:48:35.652 +0200",NA
32,"meq/L","2024-04-12 12:48:35.652 +0200",NA
33,"mg/L","2024-04-12 12:48:35.652 +0200",NA
34,"Spaulding scale","2024-04-12 12:48:35.652 +0200",NA
35,"per mille","2024-04-12 12:48:35.652 +0200",NA
36,"number/g","2024-04-12 12:48:35.652 +0200",NA
37,"m","2024-04-12 12:48:35.652 +0200",NA
39,"MNE","2024-04-12 12:48:35.652 +0200",NA
41,"NISP/100 ml","2024-04-12 12:48:35.652 +0200",NA
42,"g/m^2","2024-04-12 12:48:35.652 +0200",NA
43,"mm^2/ml","2024-04-12 12:48:35.652 +0200",NA
44,"particles/cm^2/yr","2024-04-12 12:48:35.652 +0200",NA
45,"1-4 scale","2024-04-12 12:48:35.652 +0200",NA
46,"elemental ratio","2024-04-12 12:48:35.652 +0200",NA
47,"ppm","2024-04-12 12:48:35.652 +0200",NA
48,"individual specimen","2024-04-12 12:48:35.652 +0200",NA
49,"mg/L CaCO3","2024-04-12 12:48:35.652 +0200",NA
50,"μg/L","2024-04-12 12:48:35.652 +0200",NA
52,"l","2024-04-12 12:48:35.652 +0200",NA
54,"valves/g","2024-04-12 12:48:35.652 +0200",NA
56,"NISP/ml","2024-04-12 12:48:35.652 +0200",NA
57,"mS/cm","2024-04-12 12:48:35.652 +0200",NA
61,"μg/g","2024-04-12 12:48:35.652 +0200",NA
62,"mg N/L","2024-04-12 12:48:35.652 +0200",NA
64,"μS/cm","2024-04-12 12:48:35.652 +0200",NA
66,"NTU","2024-04-12 12:48:35.652 +0200",NA
67,"μmho/cm","2024-04-12 12:48:35.652 +0200",NA
70,"grains/mg","2024-04-12 12:48:35.652 +0200",NA
71,"mg","2024-04-12 12:48:35.652 +0200",NA
72,"number/1000","2024-04-12 12:48:35.652 +0200",NA
75,"κ (SI) × 10^-6","2024-04-12 12:48:35.652 +0200",NA
76,"κ (cgs) × 10^-6","2024-04-12 12:48:35.652 +0200",NA
77,"grams","2024-04-12 12:48:35.652 +0200",NA
78,"1-2 scale","2024-04-12 12:48:35.652 +0200",NA
79,"ratio","2024-04-12 12:48:35.652 +0200",NA
80,"PTU","2024-04-12 12:48:35.652 +0200",NA
81,"κ (cgs) × 10^-5","2024-04-12 12:48:35.652 +0200",NA
82,"Pt-Co scale","2024-04-12 12:48:35.652 +0200",NA
83,"ppb","2024-04-12 12:48:35.652 +0200",NA
84,"μeq/L","2024-04-12 12:48:35.652 +0200",NA
85,"Pt-Co units","2024-04-12 12:48:35.652 +0200",NA
86,"μS/cm 25°C","2024-04-12 12:48:35.652 +0200",NA
87,"TCU","2024-04-12 12:48:35.652 +0200",NA
89,"1-3 scale","2024-04-12 12:48:35.652 +0200",NA
90,"particles/g","2024-04-12 12:48:35.652 +0200",NA
93,"nl","2024-04-12 12:48:35.652 +0200",NA
94,"mm","2024-04-12 12:48:35.652 +0200",NA
95,"number×1000","2024-04-12 12:48:35.652 +0200",NA
96,"mm^3","2024-04-12 12:48:35.652 +0200",NA
97,"fraction total alkanes","2024-04-12 12:48:35.652 +0200",NA
98,"response at m/z = 1302","2024-04-12 12:48:35.652 +0200",NA
99,"response at m/z = 1050","2024-04-12 12:48:35.652 +0200",NA
100,"response at m/z = 1292","2024-04-12 12:48:35.652 +0200",NA
101,"response at m/z = 1018","2024-04-12 12:48:35.652 +0200",NA
102,"response at m/z = 1020","2024-04-12 12:48:35.652 +0200",NA
