AGEMODELID,AGEMODEL,AGEMODELAB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
1,Average Dose Model,ADM,2021-11-19 12:11:05.011 +0100,
2,Arithmetic Mean,AVG,2021-11-19 12:11:05.011 +0100,
3,Average variance,AVVAR,2021-11-19 12:11:05.011 +0100,
4,Central Age Model,CAM,2021-11-19 12:11:05.011 +0100,
5,Unlogged Central Age Mode,CAM_UL,2021-11-19 12:11:05.011 +0100,
6,Common Age Model,COM_AM,2021-11-19 12:11:05.011 +0100,
7,Finite Mixture Model,FMM,2021-11-19 12:11:05.011 +0100,
8,Internal–External Consistency Criterion,IEU,2021-11-19 12:11:05.011 +0100,
9,Minimum Age Model,MAM,2021-11-19 12:11:05.011 +0100,
10,Unlogged Minimum Age Model,MAM_UL,2021-11-19 12:11:05.011 +0100,
11,Maximum Age Model,MAX,2021-11-19 12:11:05.011 +0100,
12,normalised Median Absolute Deviation Central Age Model,nMAD_CAM,2021-11-19 12:11:05.011 +0100,
13,pdf Gaussian Age Model,PDFG,2021-11-19 12:11:05.011 +0100,
14,Probability Density Summation Method,PDS,2021-11-19 12:11:05.011 +0100,
