MTDID,MTD,MTDAB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
-9991,not applicable,NA,2021-11-19 12:11:05.011 +0100,
1,Atomic Absorption Spectroscopy,AAS,2021-11-19 12:11:05.011 +0100,
2,Flame Photometry,F,2021-11-19 12:11:05.011 +0100,
3,In-situ Gamma Spectrometry,FGS,2021-11-19 12:11:05.011 +0100,
4,Combined In-situ Gamma Spectrometry and Neutron Activation Analysis,FGS+NAA,2021-11-19 12:11:05.011 +0100,
5,Geiger-Müller Beta Counting,GMBC,2021-11-19 12:11:05.011 +0100,
6,combined GMBC and FGS results,GMBC+FGS,2021-11-19 12:11:05.011 +0100,
7,High-Resolution Gamma-ray Spectrometry,HRGS,2021-11-19 12:11:05.011 +0100,
8,Combined High-Resolution Gamma-ray Spectrometry and In-situ Gamma Spectrometry,HRGS&FGS,2021-11-19 12:11:05.011 +0100,
9,Combined HRGS and High-resolution alpha-spectrometry,HRGS&HRAS,2021-11-19 12:11:05.011 +0100,
10,Mean of HRGS and XRF,HRGS&XRF,2021-11-19 12:11:05.011 +0100,
11,Inductively Coupled Plasma Atomic or Optical Emission Spectroscopy,ICP-A/OES,2021-11-19 12:11:05.011 +0100,
12,Inductively Coupled Plasma Mass Spectrometry,ICP-MS,2021-11-19 12:11:05.011 +0100,
13,Combined ICP-MS and –A/OES results,ICP-MS+ICP-A/OES,2021-11-19 12:11:05.011 +0100,
14,Neutron Activation Analysis,NAA,2021-11-19 12:11:05.011 +0100,
15,Combined NAA and In-situ Gamma Spectrometry results,NAA+FGS,2021-11-19 12:11:05.011 +0100,
16,Mean of NAA and HRGS,NAA+HRGS,2021-11-19 12:11:05.011 +0100,
17,Combined Neutron Activation Analysis and Inductively Coupled Plasma Mass Spectrometry,NAA+ICP-MS,2021-11-19 12:11:05.011 +0100,
18,Neutron Activation Analysis (+Potassium),NAA+K,2021-11-19 12:11:05.011 +0100,
19,Mean of NAA and TSAC,NAA+TSAC,2021-11-19 12:11:05.011 +0100,
20,Mean of NAA and XRF,NAA+XRF,2021-11-19 12:11:05.011 +0100,
21,Thick Source Alpha Counting,TSAC,2021-11-19 12:11:05.011 +0100,
22,Thick Source Alpha Counting + Geiger-Müller Beta Counting,TSAC+GMBC,2021-11-19 12:11:05.011 +0100,
23,Thick Source Alpha Counting (+Potassium),TSAC+K,2021-11-19 12:11:05.011 +0100,
24,X-ray Fluorescence,XRF,2021-11-19 12:11:05.011 +0100,
25,Other,Other,2021-11-19 12:11:05.011 +0100,
26,TBA,DNA+TSAC,2021-11-19 12:11:05.011 +0100,
27,Combined Neutron Activation Analysis and Inductively Coupled Plasma Atomic or Optical Emission Spectroscopy,NAA+ICP-A/OES,2021-11-19 12:11:05.011 +0100,
28,Combined X-ray Fluorescence and Inductively Coupled Plasma Atomic or Optical Emission Spectroscopy,XRF+ICP-A/OES,2021-11-19 12:11:05.011 +0100,
29,Combined Neutron Activation Analysis and Inductively Coupled Plasma Mass Spectrometry (+Potassium),NAA+ICP-MS+K,2021-11-19 12:11:05.011 +0100,
31,Flame Atomic Emission Spectroscopy,F-AES,2021-11-19 12:11:05.011 +0100,
32,Combined AES and XRF results,AES+XRF,2021-11-19 12:11:05.011 +0100,
