FACIESID,FACIES,CREATED_AT,UPDATED_AT
-9999,ND,2021-11-19 12:11:05.011 +0100,
1,Channel,2021-11-19 12:11:05.011 +0100,
2,Overbank,2021-11-19 12:11:05.011 +0100,
3,Beach / Shoreline,2021-11-19 12:11:05.011 +0100,
4,Deep-water lacustrine,2021-11-19 12:11:05.011 +0100,
5,Shallow-water lacustrine,2021-11-19 12:11:05.011 +0100,
6,Near-shore lacustrine,2021-11-19 12:11:05.011 +0100,
7,Lacustrine (water depth unclear),2021-11-19 12:11:05.011 +0100,
8,Playa,2021-11-19 12:11:05.011 +0100,
9,Calcareous deposits,2021-11-19 12:11:05.011 +0100,
