"FACIESID","FACIES","CREATED_AT","UPDATED_AT","PARENTID"
-9999,"ND","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:17.293 +0200",-9999
1,"Channel","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:17.664 +0200",11
2,"Overbank","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:17.978 +0200",11
3,"Beach / Shoreline","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:18.271 +0200",14
4,"Deep-water lacustrine","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:18.567 +0200",7
5,"Shallow-water lacustrine","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:18.861 +0200",7
6,"Near-shore lacustrine","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:19.155 +0200",7
7,"Lacustrine (water depth unclear)","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:19.450 +0200",7
8,"Playa","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:19.743 +0200",7
9,"Calcareous deposits","2021-11-19 12:11:05.011 +0100","2024-09-27 09:38:20.037 +0200",9
10,"Terrestrial","2024-09-27 09:50:23.880 +0200","",10
11,"Fluvial","2024-09-27 09:50:23.880 +0200","",10
12,"Marine","2024-09-27 09:50:23.880 +0200","",12
13,"Aeolian","2024-09-27 09:50:23.880 +0200","",10
14,"Littoral","2024-09-27 09:50:23.880 +0200","",14
15,"Dune","2024-09-27 09:50:23.880 +0200","",13
16,"Washover","2024-09-27 09:50:23.880 +0200","",14
17,"Cyclone or storm deposit","2024-09-27 09:50:23.880 +0200","",14
18,"Estuarine","2024-09-27 09:50:23.880 +0200","",18
19,"Back-barrier / estuarine","2024-09-27 09:50:23.880 +0200","2024-09-27 11:05:20.251 +0200",18
20,"Lagoonal / lacustrine","2024-09-27 09:50:23.880 +0200","2024-09-27 11:05:20.634 +0200",7
21,"Tidal flat","2024-09-27 09:50:23.880 +0200","",14
22,"Nearshore (to wave base)","2024-09-27 09:50:23.880 +0200","",14
23,"Shelf","2024-09-27 09:50:23.880 +0200","2024-09-27 10:09:15.508 +0200",12
24,"Inner shelf","2024-09-27 09:50:23.880 +0200","",23
25,"Outer shelf","2024-09-27 09:50:23.880 +0200","",23
26,"Sea Floor Sediments","2024-09-27 09:50:23.880 +0200","",12
27,"Estuarine clay / mud","2024-09-27 09:50:23.880 +0200","2024-09-27 11:05:20.943 +0200",18
28,"Channel sands and gravels","2024-09-27 09:50:23.880 +0200","2024-09-27 10:09:42.433 +0200",11
29,"Estuarine sand","2024-10-03 09:36:14.635 +0200","2024-10-03 09:36:14.635 +0200",18
