GEOTYPEID,GEOTYPE,CREATED_AT,UPDATED_AT
-9999,ND,2021-11-19 12:11:05.011 +0100,
1,Terrace,2021-11-19 12:11:05.011 +0100,
2,Floodplain,2021-11-19 12:11:05.011 +0100,
3,Alluvial fan,2021-11-19 12:11:05.011 +0100,
4,Bench,2021-11-19 12:11:05.011 +0100,
5,Island,2021-11-19 12:11:05.011 +0100,
6,Slack water deposit,2021-11-19 12:11:05.011 +0100,
7,Levee,2021-11-19 12:11:05.011 +0100,
8,Dune,2021-11-19 12:11:05.011 +0100,
9,Sandsheet,2021-11-19 12:11:05.011 +0100,
10,Beach / Shoreline,2021-11-19 12:11:05.011 +0100,
11,Nearshore deposit,2021-11-19 12:11:05.011 +0100,
12,Lake floor,2021-11-19 12:11:05.011 +0100,
13,Lakeshore terrace,2021-11-19 12:11:05.011 +0100,
14,Deflated cliff,2021-11-19 12:11:05.011 +0100,
15,Bar,2021-11-19 12:11:05.011 +0100,
