MORPHID,MORPH,CREATED_AT,UPDATED_AT
-9999,ND,2021-11-19 12:11:05.011 +0100,
0,no modifier,2021-11-19 12:11:05.011 +0100,
1,Climbing,2021-11-19 12:11:05.011 +0100,
2,Falling,2021-11-19 12:11:05.011 +0100,
3,Foredune,2021-11-19 12:11:05.011 +0100,
4,Longitudinal,2021-11-19 12:11:05.011 +0100,
5,Lunette,2021-11-19 12:11:05.011 +0100,
6,Nebkha,2021-11-19 12:11:05.011 +0100,
7,Network,2021-11-19 12:11:05.011 +0100,
8,Parabolic,2021-11-19 12:11:05.011 +0100,
9,Sand sheet,2021-11-19 12:11:05.011 +0100,
10,Transverse,2021-11-19 12:11:05.011 +0100,
11,Transverse shoreline,2021-11-19 12:11:05.011 +0100,
